slope,elev_5x5_rel,elev_5x5_std_dev,slope_5x5_std_dev,twi_10m,twi_100m,dd_s,dd_h,dd_v,label
89.9948,1.1394238,1.6265787,0.0020425625,15.8686695,-2.2824225,0.0,0.0,0.0,1
89.99531,1.9721167,2.491622,0.0018845316,18.77803,-0.11366506,0.0,0.0,0.0,1
0.0,0.35161132,0.91935253,44.669025,8.912661,-4.0086637,574.7911,574.7911,0.0,1
89.996025,0.16119385,1.6861929,0.000437955,10.27721,-2.4992335,31.848701,31.581007,3.7808285,1
89.99766,1.373335,3.3765755,0.00030609663,14.189735,-3.3410428,0.0,0.0,0.0,1
89.82367,0.034744874,0.08530817,0.043680284,16.074888,-0.22473317,348.19623,348.17706,2.7345967,1
89.9959,-0.27963868,2.152729,0.0012582644,7.6732717,-4.1016693,37.611595,36.97616,6.5912313,1
89.99733,-0.08627197,2.7749908,0.0002594669,10.494692,-5.3104186,237.61111,234.25447,37.56578,1
89.99271,2.004065,1.8143106,0.0026145799,20.626234,0.59529,0.0,0.0,0.0,1
89.98589,0.5595752,0.72569704,0.0029396072,17.399588,-1.6669679,0.0,0.0,0.0,1
0.0,2.046363e-12,0.0,17.414545,9.605844,0.11374431,42.37239,42.37239,0.0,1
89.944756,0.06577026,0.1742154,0.010408009,18.144646,-0.21915194,0.0,0.0,0.0,1
89.997795,-0.24145508,3.259672,0.0003842203,9.783454,-0.90535355,50.81099,49.427395,11.335969,1
